Target Language,Compared Language,Avg Recall@1,Avg Recall@k
English,Chinese_Simplified,0.7984189723320159,0.8982213438735178
English,Russian,0.28063241106719367,0.33201581027667987
English,Dutch,0.7193675889328063,0.8191699604743083
English,German,0.708498023715415,0.7905138339920948
Chinese_Simplified,English,0.25790513833992096,0.41106719367588934
Chinese_Simplified,Russian,0.011857707509881422,0.05434782608695652
Chinese_Simplified,Dutch,0.11264822134387352,0.15711462450592886
Chinese_Simplified,German,0.13339920948616601,0.18873517786561264
Russian,English,0.7282608695652174,0.849802371541502
Russian,Chinese_Simplified,0.01383399209486166,0.05039525691699605
Russian,Dutch,0.030632411067193676,0.044466403162055336
Russian,German,0.23221343873517786,0.29545454545454547
Dutch,English,0.7855731225296443,0.8853754940711462
Dutch,Chinese_Simplified,0.28063241106719367,0.39624505928853754
Dutch,Russian,0.06521739130434782,0.10474308300395258
Dutch,German,0.4258893280632411,0.6126482213438735
German,English,0.5158102766798419,0.6679841897233202
German,Chinese_Simplified,0.17885375494071146,0.25691699604743085
German,Russian,0.022727272727272728,0.06126482213438735
German,Dutch,0.25,0.35375494071146246
